No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	20	R1	R0603	20				
2	1	100	R2	R0603	100				
3	1	50	R3	R0603	50				
